MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
3.8141,52.0,5.568,1.0346666666666666,908.0,2.421333333333333,34.08,-118.35,3.42
1.5076,24.0,3.192563081009296,1.0876494023904382,1566.0,2.0796812749003983,33.77,-118.2,1.4580000000000002
3.0952,23.0,5.801324503311259,1.1015452538631347,1210.0,2.6710816777041937,38.65,-121.32,1.577
1.5536,25.0,4.088785046728972,1.0,931.0,4.350467289719626,36.6,-120.19,0.583
2.5038,39.0,4.970822281167108,1.090185676392573,822.0,2.180371352785146,39.14,-121.63,0.6829999999999999
4.125,32.0,5.543478260869565,1.0905797101449275,666.0,2.4130434782608696,33.91,-117.91,2.302
6.5851,26.0,7.989949748743719,0.984924623115578,654.0,3.2864321608040203,34.21,-118.88,3.0
5.2809,28.0,6.872727272727272,1.018181818181818,752.0,2.2787878787878797,36.82,-119.82,1.515
5.898,18.0,6.12982456140351,1.112280701754386,1055.0,3.701754385964912,37.23,-121.78,2.291
3.125,9.0,6.6577540106951885,1.2513368983957218,517.0,2.764705882352941,38.94,-122.69,0.934
1.722,14.0,3.432791728212703,1.1137370753323486,1026.0,1.5155096011816842,38.46,-122.73,1.5
1.6389,29.0,4.573122529644269,1.173913043478261,2027.0,8.011857707509881,33.97,-117.38,1.55
1.6581,48.0,4.00561797752809,0.9297752808988764,784.0,2.202247191011236,34.03,-118.34,1.188
3.95,45.0,4.5210084033613445,0.8949579831932774,781.0,3.2815126050420167,33.95,-118.35,1.64
2.8875,17.0,5.676537585421412,1.1252847380410025,1278.0,2.9111617312072893,32.82,-116.92,1.557
1.7217,16.0,3.8107142857142855,1.1482142857142856,1555.0,2.7767857142857144,33.22,-117.22,1.75
2.1164,34.0,3.985882352941176,1.0705882352941176,1467.0,3.4517647058823533,32.71,-117.14,1.394
5.0385,27.0,5.541095890410959,0.9200913242009132,1301.0,2.970319634703196,37.28,-121.97,2.773
4.0385,33.0,5.0278637770897845,1.043343653250774,1412.0,4.371517027863777,37.36,-121.82,1.676
2.1213,35.0,3.9166666666666665,0.9553571428571428,732.0,2.1785714285714284,38.58,-121.53,0.792
4.5469,4.0,5.219594594594595,1.027027027027027,788.0,2.6621621621621623,33.68,-117.81,5.00001
1.9797,22.0,2.8020050125313283,1.0952380952380951,1190.0,2.982456140350877,33.77,-118.2,1.4380000000000002
4.0391,33.0,5.196141479099678,1.0353697749196142,580.0,1.864951768488746,34.16,-118.44,3.375
3.5524,27.0,5.791569086651053,0.936768149882904,1271.0,2.976580796252928,35.4,-118.96,0.8909999999999999
4.26,46.0,5.959785522788204,0.967828418230563,968.0,2.5951742627345844,34.02,-118.33,1.826
2.0057,42.0,4.6208425720620845,1.146341463414634,1062.0,2.354767184035477,33.96,-118.33,1.982
3.0773,15.0,3.9102902374670174,0.9102902374670184,669.0,1.7651715039577835,34.43,-119.82,1.125
5.1067,40.0,6.353430353430354,1.0166320166320166,1103.0,2.2931392931392933,37.93,-122.32,2.4730000000000003
2.2031,22.0,3.8241469816272966,1.0078740157480317,2962.0,3.887139107611549,37.35,-121.84,1.64
4.2218,48.0,5.075471698113208,1.0062893081761006,684.0,2.150943396226415,34.02,-118.34,1.81
2.6087,21.0,5.193029490616622,1.0428954423592494,1002.0,2.6863270777479893,37.25,-121.0,0.962
3.3095,33.0,5.474120082815736,0.9503105590062112,1113.0,2.3043478260869565,41.74,-122.64,0.813
2.625,31.0,4.416666666666667,0.9345238095238096,1163.0,3.461309523809524,37.96,-121.22,0.721
5.9546,39.0,5.669064748201438,0.920863309352518,413.0,2.971223021582734,34.13,-118.08,3.967
8.8612,24.0,7.9016393442622945,1.0163934426229508,1514.0,2.7577413479052817,34.25,-118.51,5.00001
4.625,16.0,4.984375,0.921875,149.0,2.328125,34.07,-118.6,4.333
3.5234,31.0,4.220588235294118,1.0833333333333333,1675.0,2.7369281045751634,33.91,-118.35,2.65
4.5337,31.0,5.524390243902439,1.0528455284552845,2544.0,3.4471544715447155,37.68,-122.47,3.067
3.225,35.0,6.5700934579439245,1.0934579439252337,290.0,2.710280373831776,38.04,-121.19,1.771
